"key","English","Chinese_Pinyin","Chinese_Simplified","Chinese_traditional"
"norway","Norway","Nuówēi","挪威","挪威"
"sweden","Sweden","Ruìdiǎn","瑞典","瑞典"
"finland","Finland","Fēnlán","芬兰","芬蘭"
"estonia","Estonia","Aìshāníyà","爱沙尼亚","愛沙尼亞"
"latvia","Latvia","Lātuōwéiyà","拉脱维亚","拉脫維亞"
"lithuania","Lithuainia","Lìtáowǎn","立陶宛","立陶宛"
"poland","Poland","Bōlán","波兰","波蘭"
"germany","Germany","Déguó","德国","德國"
"denmark","Denmark","Dānmài","丹麦","丹麥"
"holland","Netherlands","Nídélán","尼德兰","尼德兰"
"belgium","Belgium","Bìlìshí","比利时","比利時"
"luxemburg","Luxembourg","Lúsēnbǎo","卢森堡","盧森堡"
"france","France","Fǎguó","法国","法國"
"uk","Britain","Yīngguó","英国","英國"
"ireland","Ireland","Aì'ěrlán","爱尔兰","愛爾蘭"
"iceland","Iceland","Bīngdǎo","冰岛","冰岛"
"spain","Spain","Xībānyá","西班牙","西班牙"
"portugal","Portugal","Pútáoyá","葡萄牙","葡萄牙"
"switzerland","Switzerland","Ruìshì","瑞士","瑞士"
"austria","Austria","Aòdìlì","奥地利","奧地利"
"czech","Czech Republic","Jiékègònghéguó","捷克共和国","捷克共和國"
"slovakia","Slovakia","Sīluòfákè","斯洛伐克","斯洛伐克"
"italy","Italy","Yìdàlì","意大利","意大利"
"slovenia","Slovenia","Sīluòwénníyà","斯洛文尼亚","斯洛文尼亞"
"hungary","Hungary","Xiōngyálì","匈牙利","匈牙利"
"croatia","Croatia","Kèluódìyà","克罗地亚","克羅地亞"
"bosher","Bosnia","Bōsīníyà","波斯尼亚","波斯尼亞"
"montenegro","Montenegro","Hēishān","黑山","黑山"
"serbia","Serbia","Sāi'ěrwéiyà","塞尔维亚","塞爾維亞"
"albania","Albania","Ā'ěrbāníyà","阿尔巴尼亚","阿爾巴尼亞"
"macedonia","Macedonia","Mǎqídùn","马其顿","馬其頓"
"greece","Greece","Xīlà","希腊","希臘"
"bulgaria","Bulgaria","Bǎojiālìyà","保加利亚","保加利亞"
"romania","Romania","Luómǎníyà","罗马尼亚","羅馬尼亞"
"moldova","Moldova","Mó'ěrduōwǎ","摩尔多瓦","摩爾多瓦"
"ukraine","Ukraine","Wūkèlán","乌克兰","烏克蘭"
"belarus","Belarus","Bái'érluósī","白俄罗斯","白俄羅斯"
"russia","Russia","Éguó","俄国","俄國"
