"Key","English","Chinese_Pinyin","Chinese_Simplified","Chinese_traditional"
"turkey","Turkey","Tǔ'ěrqí","土耳其","土耳其"
"syria","Syria","Xùlìyà","叙利亚","敘利亞"
"lebanon","Lebanon","Líbānèn","黎巴嫩","黎巴嫩"
"israel","Israel","Yǐsèliè","以色列","以色列"
"jordan","Jordan","Yuēdàn","约旦","約旦"
"saudiarabia","Saudi Arabia","Shātè'ālābó","沙特阿拉伯","沙特阿拉伯"
"yemen","Yemen","Yěmén","也门","也門"
"oman","Oman","Āmàn","阿曼","阿曼"
"uae","United Arab Emirates","Āliánqiú","阿联酋","阿聯酋"
"qatar","Qatar","Kǎtǎ'ěr","卡塔尔","卡塔爾"
"kuwait","Kuwait","Kēwēitè","科威特","科威特"
"iraq","Iraq","Yīlākè","伊拉克","伊拉克"
"iran","Iran","Yīlǎng","伊朗","伊朗"
"pakistan","Pakistan","Bājīsītǎn","巴基斯坦","巴基斯坦"
"afghanistan","Afghanistan","Āfùhàn","阿富汗","阿富汗"
"turkmenistan","Turkmenistan","Tǔkùmàn","土库曼","土庫曼"
"uzbekistan","Uzbekistan","Wūzūbiékèsītǎn","乌兹别克斯坦","烏茲別克斯坦"
"tajikistan","Tajikistan","Tǎjíkèsītǎn","塔吉克斯坦","塔吉克斯坦"
"kyrgyzstan","Kyrghizstan","Jí'ěrjísīsītǎn","吉尔吉斯斯坦","吉爾吉斯斯坦"
