"key","English","Finnish","German","Swedish","Spanish","Latin","Chinese","Russian","Russian_latin","French","Italian","Portuguese","Estonian","Latvian","Lithuanian","Romanian","Polish","Danish","Norwegian","Icelandic","Irish","Dutch","Esperanto","Arabic","Japanese","Korean","Swahili","Sami"
"one","one","yksi","eins","ett","uno","unus","一","один","odin","un","uno","um","üks","viens","vienas","unu","jeden","en","Én","einn","aon","een","unu","wahid","iti","hana","moja","okta"
"two","two","kaksi","zwei","två","dos","duo","二","два","dva","deux","due","dois","kaks","divi","du","doi","dwa","to","To","tveir","dó","twee","du","ithinin","ni","dul","mbili","guokte"
"three","three","kolme","drei","tre","tres","tres","三","три","tri","trois","tre","três","kolm","Trīs","trys","trei","trzy","tre","Tre","Þrír","trí","drie","tri","thalatha","san","set","tatu","golbma"
"four","four","neljä","vier","fyra","cuatro","quattuor","四","четыре","chetyre","quatre","quattro","quatro","neli","Četri","keturi","patru","cztery","fire","fire","Fjórir","ceathar","vier","kvar","arba'a","si","net","nne","njeallje"
"five","five","viisi","fünf","fem","cinco","quinque","五","пять","pyat","cinq","cinque","cinco","viis","Pieci","penki","cinci","pięć","fem","fem","Fimm","cúig","vijf","kvin","khamsa","go","daseot","tano","vihtta"
"six","six","kuusi","sechs","sex","seis","sex","六","шесть","shest","six","sei","seis","kuus","Seši","šeši","sase","sześć","seks","seks","Sex","sé","zes","ses","sita","roku","yeoseot","sita","guhtta"
"seven","seven","seitsemän","sieben","sju","siete","septem","七","семь","sem","sept","sette","sete","seitse","Septiņi","septyni","sapte","siedem","syv","syv","Sjö","seacht","zeven","sep","saba'a","siti","ilgop","saba","čieža"
"eight","eight","kahdeksan","acht","åtta","ocho","octo","八","восемь","vosem","huit","otto","oito","kaheksa","Astoņi","aštuoni ","opt","osiem","otte","åtte","Átta","ocht","acht","ok","thamania","hati","yeodeol","nane","gávcci"
"nine","nine","yhdeksän","neun","nio","nueve","novem","九","девять","devyat","neuf","nove","nove","üheksa","Deviņi","devyni ","noua","dziewięć","ni","ni","Níu","naoi","negen","nau","tisa'a","ku","ahop","tisa","ovcci"
"ten","ten","kymmenen","zehn","tio","diez","decem","十","десять","seyat","dix","dieci","dez","kümme","Desmit","dešimt","zece","dziesięć","ti","ti","Tíu","deich","tien","dek","ashara","zyuu","yeol","kumi","logi"
"zero","zero","nolla","null","noll","cero","zerum","零","ноль","nol","zéro","zero","zero","null","nulle","nulis","zero","zero","nul","null","núll","náid","nul","nul","sifer","rei","yeong","sifuri","nolla"
