"key","English","Chinese_Simplified","Chinese_Traditional","Chinese_Pinyin"
"AA2","operating system","操作系统","操作系統"," cāozuò xìtǒng"
"AA3","disk","磁盘","磁盤"," cípán"
"AA4","printer","打印机","打印機"," dǎyìn jī"
"AA5","computer","电脑","電腦"," diànnǎo"
"AA6","programming language","电脑语言","電腦語言"," diànnǎo yǔyán"
"AA7","workstation","工作站","工作站"," gōngzuò zhàn"
"AA8","CD","光碟","光碟"," guāngdié"
"AA9","mouse","滑鼠","滑鼠"," huáshǔ"
"AA10","laser printer","激光打印机","激光打印機"," jīguāng dǎyìnjī"
"AA11","memory","记忆体","記憶體"," jìyì tǐ"
"AA12","home computer","家用电脑","家用電腦"," jiāyòng diànnǎo"
"AA13","keyboard","键盘","鍵盤"," jiànpán"
"AA14","decompression","解压缩","解壓縮"," jiě yāsuō"
"AA15","directory/folder","目录","目錄"," mùlù"
"AA16","software","软件","軟件"," ruǎnjiàn"
"AA17","Windows","视窗","視窗"," shìchuāng"
"AA18","icon","图标","圖標"," túbiāo"
"AA19","file","文档","文檔"," wéndàng"
"AA20","laptop","膝上型电脑","膝上型電腦"," xīshàngxíng diànnǎo"
"AA21","monitor","显示器","顯示器"," xiǎnshì qì"
"AA22","hardware","硬体","硬體"," yìngtǐ"
"AA23","application","应用程式","應用程式"," yìngyòng chéngshì"
"AA24","account","帐户","帳戶"," zhànghù"
"AA25","motherboard","主机板","主機板"," zhǔjī bǎn"
"AA26","desktop computer","桌上型电脑","桌上型電腦"," zhuōshàngxíng diànnǎo"
"AA27","processor","处理器","處理器"," chǔlǐ qì"
"AA28","to download","下载","下載"," xiàzài"
"AA29","LAN","本地网","本地網"," běndiwǎng"
"AA30","wireless","无线","無綫"," wúxiàn"
"AA31","user","用户","用戶","yònghù"
"AA32","login","注册","註冊","zhùcè"
"AA33","website","网站","網站","wǎngzhàn"
"AA34","internet cafe","网吧","網吧"," wǎngba"
"AA35","to browse","浏览","瀏覽"," liúlǎn"
"AA36","chat","聊天","聊天","liáotiān"
