key,English,Chinese,PinYin
AA2,"to return",还,huán
AA3,magazine,画报,"huà bào"
AA4,dictionary,词典,"cí diǎn"
AA5,now,现在,"xiàn zài"
AA6,"to use",用,yòng
AA7,"a little bit",一下儿,"yí xiàr"
AA8,goodbye,再见,"zài jiàn"
AA9,magazine,杂志,"zá zhì"
AA10,telephone,电话,"diàn huà"
AA11,notebook,本子,"běn zi"
AA12,umbrella,雨伞,"yǔ sǎn"
AA13,female,女,nǚ
AA14,Mr.,先生,"xiān sheng"
AA15,"to know",认识,"rèn shi"
AA16,English,英语,"Yīng yǔ"
AA17,French,法语,"Fǎ yǔ"
AA18,often,常,cháng
AA19,"to go",去,qù
AA20,they,他们,"tā men"
AA21,hello,喂,wèi
AA22,oh!,啊,ā
AA23,shop,商店,"shāng diàn"
AA24,"to buy",买,mǎi
AA25,pen/pencil,笔,bǐ
AA26,paper,纸,zhǐ
AA27,"to come",来,lái
AA28,"to introduce",介绍,"jiè shào"
AA29,male,男,nán
AA30,correct,对,duì
AA31,and,和,hé
AA32,"to speak",说,shuō
AA33,China,中国,"Zhōng guó"
AA34,Britain,英国,"Yīng guó"
AA35,France,法国,"Fǎ guó"
AA36,"post office",邮局,"yóu jú"
AA37,stamp,邮票,"yóu piào"
AA38,professor,教授,"jiào shòu"
AA39,"to do",作,zuò
AA40,"to work",工作,"gōng zuò"
AA41,"to want",想,xiǎng
AA42,home,家,jiā
AA43,"to have",有,yǒu
AA44,"have not",没,méi
AA45,"younger sister",妹妹,"mèi mei"
AA46,"older sister",姐姐,"jiě jie"
AA47,bank,银行,"yín háng"
AA48,husband/wife,爱人,"ài ren"
AA49,bookstore,书店,"shū diàn"
AA50,child,孩子,"hái zi"
AA51,"to give",给,gěi
AA52,"to write",写,xiě
AA53,letter,信,xìn
AA54,"to tell",告诉,"gào su"
AA55,"office worker",职员,"zhí yuán"
AA56,engineer,工程师,"gōng chéng shī"
AA57,manager,经理,"jīng lǐ"
AA58,company,公司,"gōng sī"
AA59,"written Chinese",中文,"Zhōng wén"
AA60,department,系,xì
AA61,"how much",几,jǐ
AA62,"to teach",教,jiāo
AA63,grammar,语法,"yǔ fǎ"
AA64,"Chinese character",汉字,"Hàn zì"
AA65,character,字,zì
AA66,else,还,hái
AA67,"spoken language",口语,"kǒu yǔ"
AA68,"you flatter me",不敢当,"bù gǎn dāng"
AA69,mutual,互相,"hù xiāng"
AA70,new,新,xīn
AA71,"reading room",阅览室,"yuè lǎn shì"
AA72,magazine,杂志,"zá zhì"
AA73,newspaper,报,bào
AA74,library,图书馆,"tú shū guǎn"
AA75,there,那儿,nàr
AA76,class,班,bān
AA77,classroom,教室,"jiào shì"
AA78,laboratory,实验室,"shí yàn shì"
AA79,"to borrow",借,jiè
AA80,"new word",生词,"shēng cí"
AA81,skirt,裙子,"qún zi"
AA82,two,两,liǎng
AA83,ticket,票,piào
AA84,"Beijing opera",京剧,"jīng jù"
AA85,evening,晚上,"wǎn shang"
AA86,"too much",太,tài
AA87,from,从,cóng
AA88,"to look for",找,zhǎo
AA89,here,这儿,zhèr
AA90,old,旧,jiù
AA91,"to put on/to wear",穿,chuān
AA92,shirt,衬衫,"chèn shān"
AA93,green,绿,lǜ
AA94,big,大,dà
AA95,white,白,bái
AA96,blue,蓝,lán
AA97,jacket,上衣,"shàng yī"
AA98,trousers,裤子,"kù zi"
AA99,topcoat,大衣,"dà yī"
AA100,black,黑,hēi
AA101,theatre,剧场,"jù chǎng"
AA102,seat,座位,"zuò wèi"
AA103,dining-hall,食堂,"shí táng"
AA104,"to lack",差,chà
AA105,minute,分,fēn
AA106,"quarter of an hour",刻,kè
AA107,"to attend a class",上课,"shàng kè"
AA108,class/lesson,课,kè
AA109,"class is over",下课,"xià kè"
AA110,"later on",以后,"yǐ hòu"
AA111,thing,事儿,shìr
AA112,"to return",回,huí
AA113,"to follow",跟,gēn
AA114,together,一起,"yì qǐ"
AA115,movie,电影,"diàn yǐng"
AA116,cafe,咖啡馆,"kā fēi guǎn"
AA117,coffee,咖啡,"kā fēi"
