key,English,Chinese,Pinyin
AA2,you,你,nǐ
AA3,good,好,hǎo
AA4,"question particle",吗,ma
AA5,I/me,我,wǒ
AA6,very,很,hěn
AA7,"question particle",呢,ne
AA8,also/too,也,yě
AA9,busy,忙,máng
AA10,not,不,bù
AA11,"elder brother",哥哥,"gē ge"
AA12,he/him,他,tā
AA13,"younger brother",弟弟,"dì di"
AA14,they,他们,"tā men"
AA15,all,都,dōu
AA16,this,这,zhè
AA17,"to be",是,shì
AA18,friend,朋友,"péng you"
AA19,father,爸爸,"bà ba"
AA20,mother,妈妈,"mā ma"
AA21,"you plural",你们,"nǐ men"
AA22,doctor,大夫,"dài fu"
AA23,of,的,de
AA24,vehicle,车,chē
AA25,that,那,nà
AA26,she,她,tā
AA27,book,书,shū
AA28,newspaper,报,bào
AA29,paper,纸,zhǐ
AA30,ruler,尺,chǐ
AA31,pen,笔,bǐ
AA32,which,哪,nǎ
AA33,country,国,guó
AA34,person,人,rén
AA35,who,谁,shéi
AA36,we,我们,"wǒ men"
AA37,teacher,老师,"lǎo shī"
AA38,"spoken Chinese",汉语,"Hàn yǔ"
AA39,China,中国,"Zhōng guó"
AA40,Germany,德国,"Dé guó"
AA41,France,法国,"Fǎ guó"
AA42,USA,美国,"Měi guó"
AA43,Mali,马里,"Mǎ lǐ"
AA44,Japan,日本,"Rì běn"
AA45,what,什么,"shén me"
AA46,map,地图,"dì tú"
AA47,"to look",看,kàn
AA48,please,请,qǐng
AA49,Beijing,北京,"Běi jīng"
AA50,Shanghai,上海,"Shàng hǎi"
AA51,"Yangtse River",长江,"Cháng Jiāng"
AA52,"Yellow River",黄河,"Huáng Hé"
AA53,"the Great Wall",长城,"Cháng chéng"
AA54,world,世界,"shì jiè"
AA55,Europe,欧洲,"ōu zhōu"
AA56,Africa,非洲,"Fēi Zhōu"
AA57,Oceania,大洋周,"Dà yáng Zhōu"
AA58,"South America",南美洲,"Nán Měi Zhōu"
AA59,please,请,qǐng
AA60,"to drink",喝,hē
AA61,tea,茶,chá
AA62,you,您,nín
AA63,"to enter",进,jìn
AA64,"to welcome",欢迎,"huān yíng"
AA65,"to thank",谢谢,"xiè xie"
AA66,polite,客气,"kè qi"
AA67,"to smoke",吸烟,"xī yān"
AA68,coffee,咖啡,"kā fēi"
AA69,beer,啤酒,"pí jiǔ"
AA70,milk,牛奶,"niú nǎi"
AA71,Mr.,先生,"xiān sheng"
AA72,Mrs.,太太,"tài tai"
AA73,"what's your name?",贵姓,"guì xìng"
AA74,"May I ask...",请问,"qǐng wèn"
AA75,"to ask",问,wèn
AA76,"abroad student",留学生,"liú xué shēng"
AA77,surname,姓,xìng
AA78,"to call",叫,jiào
AA79,"foreign language",外语,"wài yǔ"
AA80,college,学院,"xué yuàn"
AA81,student,学生,"xué sheng"
AA82,"to study/to learn",学习,"xué xí"
AA83,miss,小姐,"xiǎo jie"
AA84,madam,女士,"nǚ shì"
AA85,comrade,同志,"tóng zhì"
AA86,Korea,朝鲜,"Cháo xiǎn"
AA87,Britain,英国,"Yīng guó"
AA88,in,在,zài
AA89,"to sit",坐,zuò
AA90,where,哪儿,nǎr
AA91,dormitory,宿舍,"sù shè"
AA92,"to live",住,zhù
AA93,"how much",多少,"duō shao"
AA94,number,号,hào
AA95,"story of a building",层,céng
AA96,hospital,医院,"yī yuàn"
AA97,toilet,厕所,"cè suǒ"
AA98,here,这儿,zhèr
AA99,there,那儿,nàr
