key,English,Finnish,German,Swedish,Spanish,Latin,Chinese,Russian,Russian_latin,French,Italian,Portuguese,Estonian,Latvian,Lithuanian,Romanian,Polish,Danish,Norwegian,Icelandic,Irish,Flemish
one,one,yksi,eins,ett,uno,unus,一,один,odin,un,uno,um,üks,viens,vienas,unu,jeden,en,Én,einn,aon,een
two,two,kaksi,zwei,två,dos,duo,二,два,dva,deux,due,dois,kaks,divi,du,doi,dwa,to,To,tveir,dó,twee
three,three,kolme,drei,tre,tres,tres,三,три,tri,trois,tre,três,kolm,Trīs,trys,trei,trzy,tre,Tre,Þrír,trí,drie
four,four,neljä,vier,fyra,cuatro,quattuor,四,четыре,chetyre,quatre,quattro,quatro,neli,Četri,keturi,patru,cztery,fire,fire,Fjórir,ceathar,vier
five,five,viisi,fünf,fem,cinco,quinque,五,пять,pyat,cinq,cinque,cinco,viis,Pieci,penki,cinci,pięć,fem,fem,Fimm,cúig,vijf
six,six,kuusi,sechs,sex,seis,sex,六,шесть,shest,six,sei,seis,kuus,Seši,šeši,sase,sześć,seks,seks,Sex,sé,zes
seven,seven,seitsemän,sieben,sju,siete,septem,七,семь,sem,sept,sette,sete,seitse,Septiņi,septyni,sapte,siedem,syv,syv,Sjö,seacht,zeven
eight,eight,kahdeksan,acht,åtta,ocho,octo,八,восемь,vosem,huit,otto,oito,kaheksa,Astoņi,"aštuoni ",opt,osiem,otte,åtte,Átta,ocht,acht
nine,nine,yhdeksän,neun,nio,nueve,novem,九,девять,devyat,neuf,nove,nove,üheksa,Deviņi,"devyni ",noua,dziewięć,ni,ni,Níu,naoi,negen
ten,ten,kymmenen,zehn,tio,diez,decem,十,десять,seyat,dix,dieci,dez,kümme,Desmit,dešimt,zece,dziesięć,ti,ti,Tíu,deich,tien
zero,zero,nolla,null,noll,cero,zerum,零,ноль,nol,zéro,zero,zero,null,nulle,nulis,zero,zero,nul,null,núll,náid,nul
