"Key","English","Chinese_Pinyin","Chinese_Simplified","Chinese_traditional"
"morocco","Morocco","Móluògē","摩洛哥","摩洛哥"
"algeria","Algeria","Ā'ěrjílìyà","阿尔及利亚","阿爾及利亞"
"tunisia","Tunisia","Tūnísī","突尼斯","突尼斯"
"libya","Libya","Lìbǐyà","利比亚","利比亞"
"egypt","Egypt","Aījí","埃及","埃及"
"westernsahara","Western Sahara","Xīsāhālā","西撒哈拉","西撒哈拉"
"mauritania","Mauritania","Máolǐtǎníyà","毛里塔尼亚","毛裡塔尼亞"
"mali","Mali","Mǎlǐ","马里","馬裡"
"gambia","Gambia","Gāngbǐyà","冈比亚","岡比亞"
"senegal","Senegal","Sàinèijiā'ěr","塞内加尔","塞內加爾"
"guineabissau","Guinea-Bissau","Jībǐ","几比","幾比"
"guinea","Guinea","Jīnèiyà","几内亚","幾內亞"
"sierraleone","Sierra Leone","Sàilālì'áng","塞拉利昂","塞拉利昂"
"liberia","Liberia","Lìbǐlǐyà","利比里亚","利比裡亞"
"ivorycoast","Ivory Coast","Xiàngyájǎi'àn","象牙海岸","象牙海岸"
"ghana","Ghana","Jiānà","加纳","加納"
"burginafaso","Burkina Faso","Bùjīnàfǎsuǒ","布基纳法索","布基納法索"
"togo","Togo","Duōgē","多哥","多哥"
"benin","Benin","Bèiníng","贝宁","貝寧"
"niger","Niger","Nírì'Ěr","尼日尔","尼日爾"
"nigeria","Nigeria","Nírìlìyà","尼日利亚","尼日利亞"
"chad","Chad","Zhàdé","乍得","乍得"
"sudan","Sudan","Sūdān","苏丹","蘇丹"
"eritrea","Eritrea","Èlìtèlǐyà","厄立特里亚","厄立特里亞"
"ethiopia","Ethiopia","Aīsài'ébǐyà","埃塞俄比亚","埃塞俄比亞"
"djibouti","Djibouti","Jíbùtí","吉布提","吉布提"
"somalia","Somalia","Suǒmmǎlǐ","索马里","索馬裡"
"cameroon","Cameroon","Kāmàilóng","喀麦隆","喀麥隆"
"gabon","Gabon","Jiāpéng","加蓬","加蓬"
"equatorialguinea","Equatorial Guinea","Chìdàojīnèiyà","赤道几内亚","赤道幾內亞"
"congo","Congo","Gāngguǒ","刚果","剛果"
"carepublic","Central African Republic","Zhōngfēi","中非","中非"
"drcongo","Democratic Republic of Congo","Gāngguǒjīn","刚果金","剛果金"
"uganda","Uganda","Wūgāndá","乌干达","烏干達"
"kenya","Kenya","Kěnníyà","肯尼亚","肯尼亞"
"tanzania","Tanzania","Tǎnsāngníyà","坦桑尼亚","坦桑尼亞"
"rwanda","Rwanda","Lúwàngdá","卢旺达","盧旺達"
"burundi","Burundi","Bùlóngdí","布隆迪","布隆迪"
"malawi","Malawi","Mǎlāwéi","马拉维","馬拉維"
"zambia","Zambia","Zànbǐyà","赞比亚","贊比亞"
"angola","Angola","Ān'gēlā","安哥拉","安哥拉"
"namibia","Namibia","Nàmǐbǐyà","纳米比亚","納米比亞"
"botswana","Botswana","Bócíwǎnà","博茨瓦纳","博茨瓦納"
"zimbabwe","Zimbabwe","Jīnbābùwéi","津巴布韦","津巴布韋"
"mozambique","Mozambique","Mòsāngbǐkè","莫桑比克","莫桑比克"
"southafrica","South Africa","Nánfēi","南非","南非"
"lesotho","Lesotho","Láisuǒtuō","莱索托","萊索托"
"swaziland","Swaziland","Shǐwǎjìlán","史瓦济兰","史瓦濟蘭"
"madagascar","Madagascar","Mǎdájiāsījiā","马达加斯加","馬達加斯加"
