"key","Chinese","Pinyin","English"
"AA2","束","shù","bunch"
"AA3","花儿","huār","flower"
"AA4","真","zhēn","real"
"AA5","好看","hǎo kàn","good-looking"
"AA6","祝","zhù","to wish"
"AA7","送","sòng","to give"
"AA8","非常","fēi cháng","extremely"
"AA9","感谢","gǎn xiè","to thank"
"AA10","高兴","gāo xìng","happy"
"AA11","太太","tài tai","Mrs."
"AA12","年轻","nián qīng","young"
"AA13","多","duō","how"
"AA14","跳舞","tiào wǔ","to dance"
"AA15","姑娘","gū niang","girl"
"AA16","漂亮","piào liang","beautiful"
"AA17","更","gèng","still"
"AA18","象","xiàng","to resemble"
"AA19","开","kāi","open"
"AA20","门","mén","door"
"AA21","日本","Rì běn","Japan"
"AA22","干净","gān jing","clean"
"AA23","新年","xīn nián","New Year"
"AA24","岁数","suì shu","age"
"AA25","礼物","lǐ wù","gift"
"AA26","照片","zhào piàn","picture"
"AA27","儿子","ér zi","son"
"AA28","女儿","nǚ ér","daughter"
"AA29","后边","hòu biān","behind"
"AA30","小","xiǎo","little/small"
"AA31","花园","huā yuán","garden"
"AA32","房子","fáng zi","house"
"AA33","客厅","kè tīng","drawing room"
"AA34","旁边","páng biān","side"
"AA35","书房","shū fáng","study room"
"AA36","椅子","yǐ zi","chair"
"AA37","少","shǎo","few"
"AA38","桌子","zhuō zi","table"
"AA39","上边","shàng bian","above"
"AA40","总是","zǒng shì","always"
"AA41","总","zǒng","always"
"AA42","整理","zhěng lǐ","to arrange"
"AA43","厨房","chú fáng","kitchen"
"AA44","对面","duì miàn","opposite"
"AA45","帮助","bāng zhù","to help"
"AA46","帮","bāng","to help"
"AA47","餐厅","cān tīng","dining-hall"
"AA48","左边","zuǒ biān","left"
"AA49","里边","lǐ biān","inside"
"AA50","房间","fáng jiān","room"
"AA51","卧室","wò shì","bedroom"
"AA52","洗澡间","xǐ zǎo jiān","bathroom"
"AA53","洗澡","xǐ zǎo","to take a bath"
"AA54","怎么样","zěn me yàng","how"
"AA55","外边","wài biān","outside"
"AA56","下边","xià biān","below"
"AA57","前边","qián biān","front"
"AA58","右边","yòu biān","right"
"AA59","中间","zhōng jiān","middle"
"AA60","窗户","chuāng hu","window"
"AA61","正在","zhèng zài","while"
"AA62","电视","diàn shì","television"
"AA63","接","jiē","to answer"
"AA64","电话","diàn huà","telephone"
"AA65","没有","méi yǒu","not"
"AA66","复习","fù xí","to review"
"AA67","课文","kè wén","text"
"AA68","新闻","xīn wén","news"
"AA69","友好","yǒu hǎo","friendly"
