"key","Chinese","PinYin","English"
"AA2","还","huán","to return"
"AA3","画报","huà bào","magazine"
"AA4","词典","cí diǎn","dictionary"
"AA5","现在","xiàn zài","now"
"AA6","用","yòng","to use"
"AA7","一下儿","yí xiàr","a little bit"
"AA8","再见","zài jiàn","goodbye"
"AA9","杂志","zá zhì","magazine"
"AA10","电话","diàn huà","telephone"
"AA11","本子","běn zi","notebook"
"AA12","雨伞","yǔ sǎn","umbrella"
"AA13","女","nǚ","female"
"AA14","先生","xiān sheng","Mr."
"AA15","认识","rèn shi","to know"
"AA16","英语","Yīng yǔ","English"
"AA17","法语","Fǎ yǔ","French"
"AA18","常","cháng","often"
"AA19","去","qù","to go"
"AA20","他们","tā men","they"
"AA21","喂","wèi","hello"
"AA22","啊","ā","oh!"
"AA23","商店","shāng diàn","shop"
"AA24","买","mǎi","to buy"
"AA25","笔","bǐ","pen/pencil"
"AA26","纸","zhǐ","paper"
"AA27","来","lái","to come"
"AA28","介绍","jiè shào","to introduce"
"AA29","男","nán","male"
"AA30","对","duì","correct"
"AA31","和","hé","and"
"AA32","说","shuō","to speak"
"AA33","中国","Zhōng guó","China"
"AA34","英国","Yīng guó","Britain"
"AA35","法国","Fǎ guó","France"
"AA36","邮局","yóu jú","post office"
"AA37","邮票","yóu piào","stamp"
"AA38","教授","jiào shòu","professor"
"AA39","作","zuò","to do"
"AA40","工作","gōng zuò","to work"
"AA41","想","xiǎng","to want"
"AA42","家","jiā","home"
"AA43","有","yǒu","to have"
"AA44","没","méi","have not"
"AA45","妹妹","mèi mei","younger sister"
"AA46","姐姐","jiě jie","older sister"
"AA47","银行","yín háng","bank"
"AA48","爱人","ài ren","husband/wife"
"AA49","书店","shū diàn","bookstore"
"AA50","孩子","hái zi","child"
"AA51","给","gěi","to give"
"AA52","写","xiě","to write"
"AA53","信","xìn","letter"
"AA54","告诉","gào su","to tell"
"AA55","职员","zhí yuán","office worker"
"AA56","工程师","gōng chéng shī","engineer"
"AA57","经理","jīng lǐ","manager"
"AA58","公司","gōng sī","company"
"AA59","中文","Zhōng wén","written Chinese"
"AA60","系","xì","department"
"AA61","几","jǐ","how much"
"AA62","教","jiāo","to teach"
"AA63","语法","yǔ fǎ","grammar"
"AA64","汉字","Hàn zì","Chinese character"
"AA65","字","zì","character"
"AA66","还","hái","else"
"AA67","口语","kǒu yǔ","spoken language"
"AA68","不敢当","bù gǎn dāng","you flatter me"
"AA69","互相","hù xiāng","mutual"
"AA70","新","xīn","new"
"AA71","阅览室","yuè lǎn shì","reading room"
"AA72","杂志","zá zhì","magazine"
"AA73","报","bào","newspaper"
"AA74","图书馆","tú shū guǎn","library"
"AA75","那儿","nàr","there"
"AA76","班","bān","class"
"AA77","教室","jiào shì","classroom"
"AA78","实验室","shí yàn shì","laboratory"
"AA79","借","jiè","to borrow"
"AA80","生词","shēng cí","new word"
"AA81","裙子","qún zi","skirt"
"AA82","两","liǎng","two"
"AA83","票","piào","ticket"
"AA84","京剧","jīng jù","Beijing opera"
"AA85","晚上","wǎn shang","evening"
"AA86","太","tài","too much"
"AA87","从","cóng","from"
"AA88","找","zhǎo","to look for"
"AA89","这儿","zhèr","here"
"AA90","旧","jiù","old"
"AA91","穿","chuān","to put on/to wear"
"AA92","衬衫","chèn shān","shirt"
"AA93","绿","lǜ","green"
"AA94","大","dà","big"
"AA95","白","bái","white"
"AA96","蓝","lán","blue"
"AA97","上衣","shàng yī","jacket"
"AA98","裤子","kù zi","trousers"
"AA99","大衣","dà yī","topcoat"
"AA100","黑","hēi","black"
"AA101","剧场","jù chǎng","theatre"
"AA102","座位","zuò wèi","seat"
"AA103","食堂","shí táng","dining-hall"
"AA104","差","chà","to lack"
"AA105","分","fēn","minute"
"AA106","刻","kè","quarter of an hour"
"AA107","上课","shàng kè","to attend a class"
"AA108","课","kè","class/lesson"
"AA109","下课","xià kè","class is over"
"AA110","以后","yǐ hòu","later on"
"AA111","事儿","shìr","thing"
"AA112","回","huí","to return"
"AA113","跟","gēn","to follow"
"AA114","一起","yì qǐ","together"
"AA115","电影","diàn yǐng","movie"
"AA116","咖啡馆","kā fēi guǎn","cafe"
"AA117","咖啡","kā fēi","coffee"
"AA118","半","bàn","half"
"AA119","等","děng","to wait"
"AA120","走","zǒu","to walk"
"AA121","路","lù","road"
"AA122","上班","shàng bān","to go to work"
"AA123","下班","xià bān","go off work"
"AA124","电影院","diàn yǐng yuàn","cinema"
"AA125","表","biǎo","a watch"
"AA126","钟","zhōng","clock"
"AA127","以前","yǐ qián","before"
"AA128","天","tiān","day"
"AA129","每","měi","every"
"AA130","起床","qǐ chuáng","to get up"
"AA131","起","qǐ","to rise"
"AA132","床","chuáng","bed"
"AA133","上午","shàng wǔ","morning"
"AA134","吃","chī","to eat"
"AA135","饭","fàn","meal"
"AA136","多","duō","many"
"AA137","下午","xià wǔ","afternoon"
"AA138","休息","xiū xi","to rest"
"AA139","有时候","yǒu shí hou","sometimes"
"AA140","时候","shí hou","time"
"AA141","问题","wèn tí","question"
"AA142","睡觉","shuì jiào","to sleep"
"AA143","要","yào","to want"
"AA144","服务员","fú wù yuán","waiter"
"AA145","杯","bēi","cup"
"AA146","小姐","xiǎo jie","miss"
"AA147","喜欢","xǐ huan","to like"
"AA148","花茶","huā chá","scented tea"
"AA149","红茶","hóng chá","black tea"
"AA150","红","hóng","red"
"AA151","还是","hái shì","or"
"AA152","桔子水","jú zi shuǐ","orange juice"
"AA153","桔子","jú zi","orange"
"AA154","水","shuǐ","water"
"AA155","瓶","píng","bottle"
"AA156","啤酒","pí jiǔ","beer"
"AA157","听","tīng","to listen"
"AA158","民歌","mín gē","folk song"
"AA159","古典","gǔ diǎn","classical"
"AA160","音乐","yīn yuè","music"
"AA161","现代","xiàn dài","modern"
"AA162","唱","chàng","to sing"
"AA163","歌儿","gēr","song"
"AA164","让","ràng","to ask"
"AA165","别","bié","do not"
"AA166","枝","zhī","branch"
"AA167","苹果","píng guǒ","apple"
"AA168","香蕉","xiāng jiāo","banana"
"AA169","葡萄","pú tao","grape"
"AA170","唱片","chàng piàn","record"
"AA171","绿茶","lǜ chá","green tea"
"AA172","月","yuè","month"
"AA173","生日","shēng rì","birthday"
"AA174","今天","jīn tiān","today"
"AA175","班","bān","class"
"AA176","辅导","fǔ dǎo","to coach"
"AA177","号","hào","day of a month"
"AA178","空儿","kòngr","free time"
"AA179","今年","jīn nián","this year"
"AA180","岁","suì","age"
"AA181","祝贺","zhù hè","congratulation"
"AA182","舞会","wǔ huì","party"
"AA183","参加","cān jiā","to attend"
"AA184","同学","tóng xué","classmate"
"AA185","一定","yī dìng","surely"
"AA186","有意思","yǒu yì si","interesting"
"AA187","星期","xīng qī","week"
"AA188","星期日","xīng qī rì","Sunday"
"AA189","知道","zhī dao","to know"
"AA190","地址","dì zhǐ","address"
"AA191","年","nián","year"
"AA192","去年","qù nián","last year"
"AA193","明年","míng nián","next year"
"AA194","音乐会","yīn yuè huì","concert"
"AA195","结婚","jié hūn","to get married"
"AA196","对不起","duì bu qǐ","I'm sorry"
"AA197","约会","yuē huì","appointment"
"AA198","没关系","méi guān xi","it doesn't matter"
"AA199","谈","tán","to chat"
